City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Iqaluit,63.7506,-68.5145,-4.27,76,20,12.66,CA,1649899741
Lorengau,-2.0226,147.2712,85.77,69,99,9.1,PG,1649899762
Chimbote,-9.0853,-78.5783,65.98,85,100,9.48,PE,1649899462
Coquimbo,-29.9533,-71.3436,53.33,100,20,4.61,CL,1649899762
Yakeshi,49.2833,120.7333,36.95,28,4,6.76,CN,1649899763
Apatity,67.5641,33.4031,21.22,97,100,1.79,RU,1649899763
Barcelos,41.5388,-8.6151,53.92,93,100,3.36,PT,1649899763
Paraná,-31.732,-60.5238,59.58,55,0,5.53,AR,1649899702
Santiago del Estero,-27.7951,-64.2615,62.4,76,7,5.68,AR,1649899764
Conceição das Alagoas,-19.9147,-48.3883,74.98,95,98,3.78,BR,1649899764
Mandalgovi,45.7625,106.2708,30.13,42,100,16.55,MN,1649899764
Naustdal,61.509,5.7168,39.13,92,99,3.96,NO,1649899765
Chara,56.9064,118.2631,23.94,71,100,4.76,RU,1649899765
Port Hardy,50.6996,-127.4199,46.4,65,75,12.66,CA,1649899747
Wanning,18.8003,110.3967,79.72,77,4,1.5,CN,1649899765
Batagay,67.6333,134.6333,16.9,85,100,1.95,RU,1649899766
Aurora,39.7294,-104.8319,36.9,32,75,12.66,US,1649899561
Benghazi,32.1167,20.0667,63.72,49,92,25.23,LY,1649899766
Magadan,59.5667,150.8,29.53,58,100,5.57,RU,1649899766
Atar,20.5169,-13.0499,73.74,26,0,9.06,MR,1649899635
Treinta y Tres,-33.2333,-54.3833,49.87,76,0,5.59,UY,1649899767
Xingyi,24.1877,102.817,68.18,46,7,8.88,CN,1649899767
Dudinka,69.4058,86.1778,29.62,96,100,11.16,RU,1649899767
Kalemie,-5.9475,29.1947,70.3,90,34,0.69,CD,1649899768
Port Blair,11.6667,92.75,82.44,83,20,2.3,IN,1649899768
Portland,45.5234,-122.6762,49.35,76,20,5.99,US,1649899528
Quepos,9.4236,-84.1652,80.73,79,88,1.43,CR,1649899768
Wawa,9.9022,4.4192,81.14,63,100,10.8,NG,1649899769
Buin,-33.7333,-70.75,73.06,21,0,3.11,CL,1649899769
Karratha,-20.7377,116.8463,88.09,27,0,3.74,AU,1649899769
Chunhuhub,19.55,-88.6833,81.41,60,100,8.28,MX,1649899770
Lishu,43.3047,124.3278,55.04,26,100,10.4,CN,1649899770
Guiren,33.6697,118.1889,54.19,55,100,8.7,CN,1649899770
Ajdabiya,30.7554,20.2263,66.38,26,50,19.51,LY,1649899771
Fortuna,40.5982,-124.1573,46.92,88,100,24.16,US,1649899771
Dzerzhinsk,56.2389,43.4631,40.82,86,100,11.18,RU,1649899771
Ayagoz,47.9714,80.4392,42.84,54,0,9.53,KZ,1649899771
Kavaratti,10.5669,72.642,80.58,82,100,21.36,IN,1649899772
Alyangula,-13.8483,136.4192,91.27,62,75,4.61,AU,1649899772
Ayamé,5.6083,-3.1563,75.02,92,77,2.68,CI,1649899772
Nyurba,63.2842,118.3319,30.79,96,99,8.84,RU,1649899773
Tupanciretã,-29.0806,-53.8358,58.98,95,100,7.16,BR,1649899773
Leshukonskoye,64.8989,45.7622,26.92,94,100,11.25,RU,1649899774
Verkhoyansk,67.5447,133.385,10.53,86,100,1.21,RU,1649899775
Prince George,53.9166,-122.753,37.26,28,0,12.66,CA,1649899775
Shirokiy,49.758,129.523,34.43,51,0,13.94,RU,1649899725
Sharjah city,25.3573,55.4033,85.98,50,0,4.61,AE,1649899603
Hambantota,6.1241,81.1185,75.54,100,20,0.0,LK,1649899775
Moose Factory,51.2585,-80.6094,28.4,86,100,6.91,CA,1649899776
Quixeramobim,-5.1992,-39.2928,74.03,85,96,3.67,BR,1649899776
Gilgit,35.9221,74.3087,56.55,78,60,1.03,PK,1649899776
Vostok,46.4856,135.8833,36.84,52,99,6.93,RU,1649899661
Āstāneh-ye Ashrafīyeh,37.2596,49.9444,51.73,87,100,6.67,IR,1649899777
Puyo,-1.4667,-77.9833,65.43,99,100,2.64,EC,1649899507
Anzio,41.4853,12.6179,59.02,77,12,5.14,IT,1649899777
Travnik,44.2267,17.6706,45.75,85,0,0.47,BA,1649899778
Juneau,58.3019,-134.4197,42.8,28,20,6.91,US,1649899778
Macklin,52.3334,-109.9348,23.34,68,100,13.27,CA,1649899778
Puerto El Triunfo,13.2833,-88.55,85.12,68,32,7.63,SV,1649899779
Ambulu,-8.345,113.6058,80.24,78,10,2.06,ID,1649899779
Río Tercero,-32.173,-64.1141,53.8,33,0,2.91,AR,1649899523
Sri Aman,1.2376,111.4621,82.45,89,20,2.3,MY,1649899779
Mildura,-34.2,142.15,79.07,33,32,8.05,AU,1649899780
Kovdor,67.5662,30.4758,26.82,98,100,2.68,RU,1649899507
Bengkulu,-3.8004,102.2655,79.43,79,52,2.48,ID,1649899780
Rabo de Peixe,37.8,-25.5833,60.31,72,20,12.66,PT,1649899780
Buchanan,5.8808,-10.0467,78.91,87,100,6.51,LR,1649899781
Yeppoon,-23.1333,150.7333,78.58,71,26,14.12,AU,1649899781
Beatrice,40.2681,-96.747,47.44,25,0,12.66,US,1649899595
Hailar,49.2,119.7,38.01,26,4,6.42,CN,1649899781
Straumen,63.8709,11.2999,30.2,93,22,3.98,NO,1649899782
Podbořany,50.2294,13.4119,49.05,89,96,2.93,CZ,1649899782
Deep River,46.1001,-77.4995,42.94,94,100,9.19,CA,1649899782
Kidal,18.4411,1.4078,84.72,6,25,9.13,ML,1649899783
Alugan,12.2188,125.4808,78.46,82,70,5.95,PH,1649899783
Agirish,61.9247,63.0231,34.99,99,100,5.26,RU,1649899784
Bitung,1.4451,125.1824,88.65,77,100,2.59,ID,1649899784
Richards Bay,-28.783,32.0377,68.34,81,2,6.22,ZA,1649899643
Ouégoa,-20.35,164.4333,82.06,64,6,5.59,NC,1649899784
Ende,-8.8432,121.6623,81.81,81,98,0.18,ID,1649899785
Pochutla,15.7432,-96.4661,82.81,67,99,7.09,MX,1649899785
Maamba,-17.3667,27.15,68.81,73,84,3.36,ZM,1649899785
Chimoio,-19.1164,33.4833,65.59,97,36,2.75,MZ,1649899786
Raudeberg,61.9875,5.1352,37.96,86,13,7.9,NO,1649899786
Iquique,-20.2208,-70.1431,64.44,77,57,3.91,CL,1649899630
Vao,-22.6667,167.4833,75.88,70,10,4.81,NC,1649899741
Krasnosel'kup,65.7,82.4667,33.15,99,100,6.82,RU,1649899786
Passau,48.5712,13.449,53.96,77,62,2.15,DE,1649899517
Puerto Limón,10.0,-83.0333,79.23,81,24,3.83,CR,1649899788
Chongwe,-15.3292,28.682,61.99,88,22,1.97,ZM,1649899788
Alexandria,31.2156,29.9553,55.36,76,0,5.75,EG,1649899788
Urucará,-2.5364,-57.76,76.98,92,100,2.73,BR,1649899789
Aklavik,68.2191,-135.0107,8.1,75,1,10.16,CA,1649899789
Chulym,55.0997,80.9572,35.02,75,2,6.51,RU,1649899789
Benguela,-12.5763,13.4055,78.28,80,91,4.38,AO,1649899790
Moosomin,50.1333,-101.6677,24.66,94,100,25.46,CA,1649899790
Bazarnyy Syzgan,53.7512,46.7535,42.93,93,100,12.19,RU,1649899790
Tlapacoyan,19.9667,-97.2167,83.1,57,100,2.64,MX,1649899791
Māngrol,21.1167,70.1167,77.77,80,0,10.02,IN,1649899791
Tuy Hoa,13.0833,109.3,80.46,83,100,3.02,VN,1649899791
Lewistown,40.5992,-77.5714,72.34,88,0,3.44,US,1649899530
Kloulklubed,7.0419,134.2556,82.9,80,100,17.07,PW,1649899648
Celestún,20.8667,-90.4,80.06,81,100,13.31,MX,1649899792
Waterloo,43.4668,-80.5164,59.65,100,100,12.66,CA,1649899792
Komsomolets,53.7453,62.0708,50.16,89,82,7.92,KZ,1649899793
Severo-Yeniseyskiy,60.3725,93.0408,32.72,87,100,12.71,RU,1649899794
Sonegaon,20.65,78.6833,91.42,29,97,3.94,IN,1649899794
Hazorasp,41.3194,61.0742,60.64,44,2,11.97,UZ,1649899794
Beringovskiy,63.05,179.3167,31.41,99,100,11.25,RU,1649899795
Negara,-8.3151,114.6025,82.51,72,5,3.27,ID,1649899795
Atasū,48.6814,71.6433,46.38,51,0,7.18,KZ,1649899795
Launceston,-41.45,147.1667,63.61,71,100,14.97,AU,1649899796
Guarujá,-23.9931,-46.2564,78.89,26,99,5.44,BR,1649899796
Obo,5.3998,26.4869,72.43,78,100,3.06,CF,1649899796
Ust-Nera,64.5667,143.2,11.77,86,87,3.22,RU,1649899797
Cap Malheureux,-19.9842,57.6142,78.48,83,24,7.0,MU,1649899797
College,64.8569,-147.8028,44.22,36,75,1.01,US,1649899700
Novaya Ladoga,60.1025,32.3019,29.62,94,97,3.76,RU,1649899798
Babol,36.5513,52.679,55.38,88,100,11.5,IR,1649899798
Nelson Bay,-32.7167,152.15,73.0,77,76,9.19,AU,1649899799
Marquette,46.5333,-87.6335,35.04,97,100,4.23,US,1649899799
City of San Pedro,14.35,121.0167,87.31,67,20,2.3,PH,1649899748
Rome,43.2128,-75.4557,67.73,81,40,0.0,US,1649899696
Chuncheng,22.1731,111.7886,77.68,66,21,5.35,CN,1649899799
Salekhard,66.53,66.6019,33.15,100,100,6.17,RU,1649899800
Lázaro Cárdenas,17.9583,-102.2,76.98,83,100,6.11,MX,1649899800
Ibipeba,-11.6408,-42.0111,76.6,57,100,0.16,BR,1649899801
Farafangana,-22.8167,47.8333,74.3,86,64,7.14,MG,1649899700
Mossamedes,-15.1961,12.1522,76.55,82,0,2.91,AO,1649899802
Kahului,20.8947,-156.47,84.22,48,40,23.02,US,1649899561
Emerald,-23.5333,148.1667,82.35,57,75,9.22,AU,1649899803
Southbridge,42.0751,-72.0334,61.2,85,100,5.21,US,1649899747
Kabanjahe,3.1001,98.4908,71.82,74,100,0.72,ID,1649899804
Manbij,36.5281,37.9549,41.88,36,5,9.15,SY,1649899804
Naze,28.3667,129.4833,70.72,84,96,6.15,JP,1649899805
Loandjili,-4.7561,11.8578,77.09,91,49,2.46,CG,1649899806
Chaoyang,41.5703,120.4586,58.84,21,1,5.97,CN,1649899806
Inuvik,68.3499,-133.7218,11.16,52,20,9.22,CA,1649899807
Plátanos,37.6667,21.6167,53.08,80,63,4.36,GR,1649899807
Kawalu,-7.3817,108.2082,82.27,68,72,2.44,ID,1649899808
Mason City,43.1536,-93.201,38.32,54,0,16.11,US,1649899808
Marawi,7.9986,124.2928,79.57,64,100,2.71,PH,1649899809
Mbanza-Ngungu,-5.25,14.8667,66.61,96,94,3.0,CD,1649899809
Pevek,69.7008,170.3133,8.22,81,100,2.86,RU,1649899809
Bhānpura,24.513,75.7469,87.08,22,0,11.52,IN,1649899810
Muros,42.7762,-9.0603,47.84,94,100,4.56,ES,1649899810
Sur,22.5667,59.5289,85.05,32,7,5.75,OM,1649899538
Turukhansk,65.8167,87.9833,32.2,100,100,6.8,RU,1649899811
Mocuba,-16.8392,36.9856,70.54,98,11,3.49,MZ,1649899698
Miraflores,19.2167,-98.8083,75.02,38,100,3.89,MX,1649899811
Salinas,36.6777,-121.6555,60.42,53,0,14.97,US,1649899796
Tonantins,-2.8731,-67.8022,74.08,98,98,1.63,BR,1649899812
Cockburn Town,21.4612,-71.1419,77.27,81,6,26.66,TC,1649899812
Teahupoo,-17.8333,-149.2667,73.36,74,38,20.0,PF,1649899813
Kushima,31.4583,131.2333,69.96,86,100,7.96,JP,1649899813
Kuchl,47.6265,13.1448,51.48,87,59,5.08,AT,1649899813
Acarí,-15.4311,-74.6158,69.3,76,8,2.84,PE,1649899814
Cumana,10.4635,-64.1775,77.88,82,70,17.34,VE,1649899814
Kosum Phisai,16.2486,103.0674,87.1,39,82,12.77,TH,1649899815
Luanda,-8.8368,13.2343,76.6,90,63,7.78,AO,1649899815
Mbalmayo,3.5167,11.5,68.0,99,100,3.83,CM,1649899815
Paphos,34.7667,32.4167,49.78,57,0,8.05,CY,1649899816
Derzhavīnsk,51.1,66.3167,49.35,60,10,7.0,KZ,1649899816
Dongli,23.5656,116.8194,75.18,64,20,8.95,CN,1649899816
Maryborough,-25.5333,152.7,75.11,67,44,10.47,AU,1649899816
Sāveh,35.0213,50.3566,64.38,17,94,4.27,IR,1649899817
Necochea,-38.5473,-58.7368,55.26,69,0,7.81,AR,1649899698
Zaraza,9.3503,-65.3245,82.22,61,54,8.21,VE,1649899817
Wewak,-3.5534,143.6268,85.82,69,66,7.31,PG,1649899818
Paita,-5.0892,-81.1144,69.62,77,45,16.35,PE,1649899818
Havøysund,70.9963,24.6622,30.43,83,68,8.66,NO,1649899818
Flin Flon,54.7682,-101.865,23.68,82,100,13.82,CA,1649899818
Balabac,7.9868,117.0645,83.82,70,62,10.98,PH,1649899819
Caluquembe,-13.7833,14.6833,59.02,95,100,2.98,AO,1649899819
Pedernales,18.0384,-71.744,79.41,70,6,10.45,DO,1649899820
Khovd,48.0056,91.6419,23.05,46,77,8.1,MN,1649899820
